t_sec,x_km,y_km,z_km,vx_km_s,vy_km_s,vz_km_s
138073.732,-338124.056460460,-180481.026954237,-109793.574945319,0.494166416,-0.763503389,-0.391283274
138673.732,-337827.174666311,-180938.922434185,-110028.218969091,0.495439343,-0.762814602,-0.390863333
139273.732,-337529.529514493,-181396.404146321,-110262.610777351,0.496710941,-0.762124163,-0.390442556
139873.732,-337231.121804024,-181853.471100270,-110496.749868790,0.497981205,-0.761432075,-0.390020944
140473.732,-336931.952335295,-182310.122306851,-110730.635742798,0.499250135,-0.760738339,-0.389598498
141073.732,-336632.021910069,-182766.356778078,-110964.267899462,0.500517726,-0.760042958,-0.389175219
141673.732,-336331.331331480,-183222.173527163,-111197.645839571,0.501783979,-0.759345932,-0.388751109
142273.732,-336029.881404028,-183677.571568517,-111430.769064610,0.503048889,-0.758647265,-0.388326169
142873.732,-335727.672933577,-184132.549917749,-111663.637076767,0.504312455,-0.757946959,-0.387900400
143473.732,-335424.706727352,-184587.107591670,-111896.249378929,0.505574674,-0.757245015,-0.387473803
144073.732,-335120.983593939,-185041.243608290,-112128.605474686,0.506835545,-0.756541435,-0.387046379
144673.732,-334816.504343279,-185494.956986825,-112360.704868329,0.508095065,-0.755836221,-0.386618129
145273.732,-334511.269786667,-185948.246747690,-112592.547064849,0.509353231,-0.755129376,-0.386189055
145873.732,-334205.280736749,-186401.111912510,-112824.131569941,0.510610042,-0.754420902,-0.385759158
146473.732,-333898.538007520,-186853.551504110,-113055.457890004,0.511865495,-0.753710799,-0.385328439
147073.732,-333591.042414323,-187305.564546525,-113286.525532139,0.513119588,-0.752999071,-0.384896898
147673.732,-333282.794773842,-187757.150064998,-113517.334004151,0.514372319,-0.752285720,-0.384464538
148273.732,-332973.795904103,-188208.307085978,-113747.882814549,0.515623686,-0.751570747,-0.384031360
148873.732,-332664.046624470,-188659.034637126,-113978.171472548,0.516873685,-0.750854154,-0.383597364
149473.732,-332353.547755643,-189109.331747313,-114208.199488067,0.518122316,-0.750135944,-0.383162552
150073.732,-332042.300119657,-189559.197446621,-114437.966371731,0.519369575,-0.749416118,-0.382726925
150673.732,-331730.304539874,-190008.630766344,-114667.471634871,0.520615461,-0.748694679,-0.382290484
151273.732,-331417.561840989,-190457.630738993,-114896.714789524,0.521859972,-0.747971628,-0.381853230
151873.732,-331104.072849018,-190906.196398289,-115125.695348434,0.523103105,-0.747246968,-0.381415165
152473.732,-330789.838391303,-191354.326779172,-115354.412825055,0.524344857,-0.746520700,-0.380976289
153073.732,-330474.859296504,-191802.020917798,-115582.866733543,0.525585228,-0.745792828,-0.380536604
153673.732,-330159.136394602,-192249.277851539,-115811.056588769,0.526824214,-0.745063351,-0.380096112
154273.732,-329842.670516892,-192696.096618988,-116038.981906306,0.528061814,-0.744332274,-0.379654812
154873.732,-329525.462495979,-193142.476259954,-116266.642202441,0.529298024,-0.743599597,-0.379212707
155473.732,-329207.513165782,-193588.415815469,-116494.036994169,0.530532844,-0.742865322,-0.378769798
156073.732,-328888.823361527,-194033.914327787,-116721.165799193,0.531766271,-0.742129453,-0.378326085
156673.732,-328569.393919743,-194478.970840382,-116948.028135928,0.532998302,-0.741391990,-0.377881570
157273.732,-328249.225678264,-194923.584397952,-117174.623523500,0.534228936,-0.740652937,-0.377436255
157873.732,-327928.319476222,-195367.754046421,-117400.951481745,0.535458170,-0.739912294,-0.376990140
158473.732,-327606.676154048,-195811.478832936,-117627.011531211,0.536686003,-0.739170064,-0.376543226
159073.732,-327284.296553467,-196254.757805870,-117852.803193157,0.537912431,-0.738426249,-0.376095515
159673.732,-326961.181517497,-196697.590014825,-118078.325989555,0.539137454,-0.737680851,-0.375647007
160273.732,-326637.331890444,-197139.974510630,-118303.579443091,0.540361068,-0.736933872,-0.375197705
160873.732,-326312.748517903,-197581.910345341,-118528.563077161,0.541583272,-0.736185314,-0.374747609
161473.732,-325987.432246754,-198023.396572246,-118753.276415877,0.542804063,-0.735435180,-0.374296721
162073.732,-325661.383925159,-198464.432245862,-118977.718984063,0.544023440,-0.734683470,-0.373845041
162673.732,-325334.604402557,-198905.016421940,-119201.890307258,0.545241399,-0.733930188,-0.373392571
163273.732,-325007.094529667,-199345.148157461,-119425.789911717,0.546457940,-0.733175335,-0.372939312
163873.732,-324678.855158483,-199784.826510641,-119649.417324408,0.547673060,-0.732418914,-0.372485266
